province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16405399,8112073,8293326,6.989302729,6.123093989,6.008692626,6.10831227,5.92784729,6.048850138,6.50377964,7.874803898,7.96087922,7.505632749,6.867476981,6.72466424,5.579279114,4.246608083,3.479622775,2.776683456,1.919508328,0.968851779,0.287947888,0.098162806,80.4,19.6,8.8,10.8,11.2,8.2,41874,40129,13789,5415,33929,161752,61703,28773,28.6,36.4,20.1,1321200,1267850,42730
Groningen,573459,284678,288781,6.207046656,5.561166552,5.448137558,6.840946732,7.695175251,6.216075092,6.277711506,7.364248524,7.429878261,7.145135422,6.869247382,6.677566834,5.719164121,4.142140194,3.537235286,2.780756898,2.069073421,1.134804399,0.331794852,0.118758596,87.6,12.4,6.8,5.5,10.3,9.2,1596,1649,539,195,1299,6023,3108,1996,25.5,31.4,18.9,54960,54170,790
Friesland,643189,321102,322087,7.07733009,6.35085073,6.236607865,6.118340169,5.607188488,5.385823575,5.968493171,7.602878241,7.599472607,7.243121576,6.915563435,6.810763388,6.06044474,4.51150962,3.647412492,2.907001072,2.021231846,1.065492747,0.322604514,0.113933266,91.8,8.2,4.7,3.5,10.9,8.7,1794,1680,515,222,1363,7352,2430,225,25.2,31.9,17.6,49750,49150,600
Drenthe,488135,241209,246926,6.739451812,6.353740024,6.129982311,5.588639584,4.5608227,4.774585737,5.732440095,7.54942618,7.835599425,7.697714111,7.314653956,7.214095576,6.256853113,4.796410807,4.090258382,3.175646188,2.19515088,1.140613633,0.322276388,0.097702759,91.4,8.6,5.6,3,10,9.2,1429,1363,422,138,1161,5466,1154,122,26,33.1,18.1,42050,41600,450
Overijssel,1119994,559411,560583,7.559593871,6.498942918,6.250293126,6.229490815,6.053293506,6.048226272,6.444625793,7.691341823,7.590975134,7.149148356,6.543925692,6.362127746,5.437847468,4.21113366,3.521990567,2.84431542,1.889542872,0.894321398,0.260828921,0.08409821,86.1,13.9,6.9,7,11.9,8.1,2825,2672,1054,378,2181,13269,4757,1111,25.8,33,17.8,89910,87470,2430
Flevoland,378688,189171,189517,8.709348727,7.504369257,7.244863533,6.904903129,6.205263065,6.379055681,6.948811412,8.454312731,8.559482195,7.856949974,6.683521374,5.607374509,4.117385702,2.659736508,2.145457688,1.727934804,1.151343031,0.541359961,0.13277649,0.031813769,74.1,25.9,8.1,17.8,13.4,5.2,630,610,202,86,441,4726,1232,212,28.8,36.6,20.3,30110,29170,950
Gelderland,1983869,978683,1005186,7.008177227,6.349713008,6.234331208,6.17074324,5.641161343,5.575917172,6.125925515,7.725762701,7.912611965,7.504735535,6.935455075,6.792570347,5.65827539,4.318210361,3.572419336,2.816189237,1.920336619,0.93926508,0.272118367,0.092144843,86.1,13.9,7.5,6.3,10.9,8.2,5104,4984,1694,632,3938,20074,6501,3081,27.7,35.6,19.1,144370,140880,3490
Utrecht,1201350,587012,614338,7.76239856,6.30846137,5.874675399,6.284095096,6.597044242,6.6996478,7.102602977,8.211765696,7.850498396,7.244988205,6.407169639,6.141046833,4.953729716,3.713121727,2.998709216,2.424029817,1.726275889,0.896745165,0.273167476,0.095890399,80.3,19.7,8.2,11.4,12.8,7.2,2632,2540,871,365,2235,9747,5056,3545,32,40.9,22.7,82240,79120,3120
Noord-Holland,2626163,1291013,1335150,7.051577096,5.902581727,5.628621439,5.694552376,5.830584694,6.488718742,7.100598777,8.271811243,8.168005086,7.503615367,6.705013164,6.635480477,5.420743738,4.024251448,3.210408164,2.630071859,1.894064229,1.004053467,0.298527996,0.102782502,73,27,10.7,16.3,11.7,8.1,6514,6048,2030,963,5744,22848,9053,5985,31,38.9,22.7,224250,215040,9210
Zuid-Holland,3461435,1704710,1756725,7.015605765,5.965130272,5.936308356,6.218774653,6.258124341,6.513926054,6.717980631,7.841057443,7.81620501,7.303681123,6.67538057,6.521203443,5.280020048,4.037542255,3.292745925,2.732588213,1.950541998,1.037215113,0.330819242,0.121213138,73.3,26.7,9.3,17.4,11.8,8.3,8780,8405,2921,1093,7520,32868,12717,7120,29.8,38,21.1,262310,248190,14120
